CPUs_used,Model,Execution_time,Prediction,Score
1,KNeighbors,0.3134,4.0,0.13
2,KNeighbors,0.3233,4.0,0.13
3,KNeighbors,0.2839,4.0,0.13
4,KNeighbors,0.3076,4.0,0.13
5,KNeighbors,0.2544,4.0,0.13
6,KNeighbors,0.2695,4.0,0.13
7,KNeighbors,0.2522,4.0,0.13
8,KNeighbors,0.2713,4.0,0.13
9,KNeighbors,0.275,4.0,0.13
10,KNeighbors,0.3048,4.0,0.13
11,KNeighbors,0.2978,4.0,0.13
12,KNeighbors,0.2531,4.0,0.13
13,KNeighbors,0.2699,4.0,0.13
14,KNeighbors,0.2505,4.0,0.13
15,KNeighbors,0.2512,4.0,0.13
16,KNeighbors,0.2454,4.0,0.13
17,KNeighbors,0.2461,4.0,0.13
18,KNeighbors,0.2884,4.0,0.13
19,KNeighbors,0.243,4.0,0.13
20,KNeighbors,0.2618,4.0,0.13
21,KNeighbors,0.2535,4.0,0.13
22,KNeighbors,0.2753,4.0,0.13
23,KNeighbors,0.2754,4.0,0.13
24,KNeighbors,0.2531,4.0,0.13
25,KNeighbors,0.2841,4.0,0.13
26,KNeighbors,0.2664,4.0,0.13
27,KNeighbors,0.2826,4.0,0.13
28,KNeighbors,0.2763,4.0,0.13
29,KNeighbors,0.2804,4.0,0.13
30,KNeighbors,0.2838,4.0,0.13
31,KNeighbors,0.2774,4.0,0.13
32,KNeighbors,0.3015,4.0,0.13
1,Random_Forest,1.9992,4.0,0.1553
2,Random_Forest,2.0082,5.0,0.1566
3,Random_Forest,1.9827,8.0,0.1553
4,Random_Forest,1.9906,4.0,0.1584
5,Random_Forest,1.9875,14.0,0.1578
6,Random_Forest,1.9626,15.0,0.1553
7,Random_Forest,1.9622,14.0,0.1559
8,Random_Forest,1.9784,4.0,0.1553
9,Random_Forest,2.0095,15.0,0.1678
10,Random_Forest,2.0229,4.0,0.1578
11,Random_Forest,1.991,15.0,0.1541
12,Random_Forest,1.9852,15.0,0.1578
13,Random_Forest,1.9965,15.0,0.1603
14,Random_Forest,1.9866,5.0,0.1547
15,Random_Forest,1.9646,5.0,0.1622
16,Random_Forest,2.039,4.0,0.1603
17,Random_Forest,1.9943,15.0,0.1584
18,Random_Forest,1.9727,8.0,0.1634
19,Random_Forest,1.9791,4.0,0.1578
20,Random_Forest,1.9623,8.0,0.1584
21,Random_Forest,2.0518,14.0,0.1559
22,Random_Forest,1.9864,5.0,0.1609
23,Random_Forest,1.9686,4.0,0.1584
24,Random_Forest,1.9629,4.0,0.1591
25,Random_Forest,1.969,4.0,0.1572
26,Random_Forest,1.989,4.0,0.1534
27,Random_Forest,1.9748,14.0,0.1634
28,Random_Forest,2.0009,5.0,0.1603
29,Random_Forest,2.0146,8.0,0.1566
30,Random_Forest,1.9865,8.0,0.1591
31,Random_Forest,1.9878,8.0,0.1597
32,Random_Forest,1.9895,5.0,0.1553
1,SGD,1.617,17.0,0.1316
2,SGD,1.6139,12.0,0.1397
3,SGD,1.6412,16.0,0.1438
4,SGD,1.6385,8.0,0.1344
5,SGD,1.5885,12.0,0.1256
6,SGD,1.6001,16.0,0.1397
7,SGD,1.6322,13.0,0.1434
8,SGD,1.6133,16.0,0.1531
9,SGD,1.622,16.0,0.1438
10,SGD,1.6061,16.0,0.1391
11,SGD,1.6342,16.0,0.1303
12,SGD,1.6866,17.0,0.1419
13,SGD,1.7532,16.0,0.1478
14,SGD,1.6209,13.0,0.1359
15,SGD,1.6241,8.0,0.1281
16,SGD,1.6257,16.0,0.1381
17,SGD,1.6087,11.0,0.1491
18,SGD,1.5946,8.0,0.1506
19,SGD,1.6513,16.0,0.1269
20,SGD,1.5999,17.0,0.1419
21,SGD,1.6053,16.0,0.1322
22,SGD,1.5999,13.0,0.1406
23,SGD,1.621,8.0,0.1309
24,SGD,1.6982,16.0,0.1228
25,SGD,1.6292,8.0,0.1412
26,SGD,1.5885,16.0,0.1513
27,SGD,1.6507,12.0,0.1438
28,SGD,1.5799,13.0,0.1503
29,SGD,1.5876,8.0,0.1366
30,SGD,1.5916,16.0,0.1391
31,SGD,1.5524,16.0,0.1394
32,SGD,1.6124,8.0,0.1447
